numero_de_radicado|fecha_ult_actuacion
11001310300520230041900|06 Dec 2024
11001310300220180002400|19 Jul 2019
11001310300320170059000|08 Nov 2024
11001310300820190046400|13 Dec 2024
11001310300820190046400|13 Dec 2024
11001310300820200010700|18 Dec 2024
11001310300920180005800|30 Jan 2023
11001310301020220011400|06 Dec 2024
11001310301020220020200|08 Jul 2024
11001310301020220020200|08 Jul 2024
11001310301120160071000|26 Nov 2024
11001310301120160071000|26 Nov 2024
11001310301120180017100|04 Dec 2024
11001310301120180017100|04 Dec 2024
11001310301120230009500|15 Nov 2024
11001310300920220022000|29 Oct 2024
11001310304820220043700|04 Oct 2024
11001310301320230034900|15 Nov 2024
11001310301320150061600|28 May 2024
11001310302120230008200|03 Dec 2024
11001310302620230039900|20 May 2024
11001310302920220049300|18 Dec 2024
11001310301420180020300|29 Apr 2024
11001310301920170010100|03 Oct 2024
11001310302120110051600|18 Dec 2024
11001310302120110051600|18 Dec 2024
11001310302320200039200|04 Sep 2024
11001310302420180006500|15 Nov 2024
11001310302420210033600|26 Nov 2024
11001310302420210040600|11 Dec 2024
11001310303320180032000|05 Aug 2024
11001310303320220000100|21 Oct 2024
11001310303420210006000|19 Dec 2024
11001310303620220016900|16 Dec 2024
11001310304320210030800|18 Dec 2024
11001310304720230072400|09 Dec 2024
11001310304720230000200|09 Dec 2024
11001310301020220003000|11 Dec 2024
11001310304720200024500|no_encontro_informacion
11001310304820200020300|28 Nov 2024
11001310305020220020400|19 Nov 2024
11001310305120230047600|18 Nov 2024
11001310304020170013500|10 Dec 2024
11001310301220140017100|04 Mar 2022
11001340300520240000400|05 Mar 2024
11001310300820130062900|05 Nov 2024
11001310301520120046600|10 Aug 2022
11001310303520170050400|19 Dec 2024
11001310300920060057000|13 Dec 2024
11001310300620180044300|29 Aug 2024
11001310302520150019000|05 Dec 2023
11001310300720190001600|18 Sep 2023
11001310303820170004400|13 Jan 2025
11001310304120140044200|11 Aug 2021
11001311002920200046000|26 Sep 2024
11001400300120150097100|18 Sep 2024
11001400300220190003300|05 Apr 2024
11001400308220180046800|18 Jul 2024
11001400304820070060700|23 Apr 2024
11001400307220140078400|27 Nov 2024
11001400300320110112500|10 Dec 2024
11001400301420150100700|07 Dec 2023
11001400306720150016300|03 Dec 2024
11001400303620140042300|03 Dec 2024
11001400302720150124900|12 Sep 2024
11001400304920140002000|24 Sep 2024
11001400305920180073400|12 Jul 2024
11001400302220120082500|25 Aug 2023
11001400300320180058000|09 Dec 2024
11001400300920190121400|30 Sep 2024
11001400301320220017900|07 Oct 2024
11001400302320210005300|13 Dec 2024
11001400302420240009500|20 Aug 2024
11001400303120220100500|07 Oct 2024
11001400306220190207700|12 Dec 2024
11001400306520200003100|26 Nov 2024
11001400306620220097300|05 Dec 2024
11001400307020220104700|25 Nov 2024
11001400307020230200700|25 Nov 2024
11001400307320190210500|19 Dec 2024
11001400304020230079900|13 Dec 2024
11001400305920220074600|27 Sep 2024
11001400307420210004700|19 Dec 2024
11001400307420210046600|27 Nov 2024
11001400307620220045300|12 May 2023
11001400308620220158000|09 Dec 2024
11001400308620220065600|19 Nov 2024
11001418900720230196400|25 Jan 2024
11001418901720210042700|18 Dec 2024
11001418901820220076900|09 Oct 2024
11001418902020220097400|13 Mar 2024
11001400306120220093200|05 Dec 2024
11001400306020220159300|31 Jan 2024
11001418904120230029700|05 Sep 2024
11001418900720220119500|20 Feb 2023
11001418903720220091400|22 Nov 2024
11001418902320220155500|15 Oct 2024
11001310500420220046600|no_encontro_informacion
11001310500820190049200|no_encontro_informacion
11001310500820180067900|no_encontro_informacion
11001310501020120067400|no_encontro_informacion
11001310501020120001300|no_encontro_informacion
11001310501120210043600|no_encontro_informacion
11001310501120060021700|no_encontro_informacion
11001310501420150080100|no_encontro_informacion
11001310501520210004000|no_encontro_informacion
11001310502020230037700|no_encontro_informacion
11001310502120210011400|no_encontro_informacion
11001310502520220060900|no_encontro_informacion
11001310502820190088300|no_encontro_informacion
11001310503420230017900|no_encontro_informacion
11001310503920190073700|no_encontro_informacion
11001310504220230015900|no_encontro_informacion
11001310502920140009400|no_encontro_informacion
11001310504620230037000|no_encontro_informacion
11001400304520160042000|15 Dec 2020
11001400304920220076000|12 Feb 2024
11001400305320220080200|25 Nov 2024
